,0
0,1708.0
1,1728.0
2,1831.0
3,2085.0
4,2506.0
5,3044.0
6,3542.0
7,2700.0
8,2318.0
9,3191.0
10,3636.0
11,2411.0
12,2489.0
13,3263.0
14,2931.0
15,2126.0
16,2534.0
17,3251.0
18,2795.0
19,2063.0
20,2648.0
21,3320.0
22,2372.0
23,2000.0
24,2769.0
25,3378.0
26,2345.0
27,2022.0
28,2850.0
29,3450.0
30,2342.0
31,2073.0
32,2890.0
33,3422.0
34,2276.0
35,2242.0
36,3017.0
37,3222.0
38,2245.0
39,2183.0
40,3009.0
41,2759.0
42,2071.0
43,2448.0
44,3142.0
45,2669.0
46,2020.0
47,2384.0
48,3115.0
49,2804.0
50,2075.0
51,2386.0
52,3127.0
53,2647.0
54,2075.0
55,2450.0
56,3141.0
57,2707.0
58,2075.0
59,2422.0
60,3073.0
61,2950.0
62,2187.0
63,2357.0
64,3035.0
65,2663.0
66,2027.0
67,2328.0
68,3093.0
69,2759.0
70,2034.0
71,2327.0
72,3038.0
73,2401.0
74,1982.0
75,2434.0
76,3077.0
77,2425.0
78,1984.0
79,2406.0
80,3006.0
81,2485.0
82,2002.0
83,2335.0
84,2949.0
85,2514.0
86,2002.0
87,2307.0
88,2920.0
89,2669.0
90,2084.0
91,2341.0
92,2985.0
93,2560.0
94,2094.0
95,2336.0
96,2951.0
97,2506.0
98,2086.0
99,2292.0
100,2906.0
101,2541.0
102,2099.0
103,2238.0
104,2864.0
105,2462.0
106,2027.0
107,2374.0
108,2953.0
109,2384.0
110,2004.0
111,2441.0
112,3056.0
113,2610.0
114,2159.0
115,2399.0
116,3039.0
117,2838.0
118,2238.0
119,2225.0
120,2760.0
121,2915.0
122,2206.0
123,2207.0
124,2915.0
125,3239.0
126,2239.0
127,2114.0
128,2823.0
129,3186.0
130,2281.0
131,2120.0
132,2872.0
133,3267.0
134,2239.0
135,2061.0
136,2813.0
137,3211.0
138,2287.0
139,2052.0
140,2811.0
141,3098.0
142,2165.0
143,2115.0
144,2884.0
145,2942.0
146,2126.0
147,2295.0
148,2931.0
149,2412.0
150,2015.0
151,2476.0
152,3010.0
153,2286.0
154,1997.0
155,2640.0
156,2788.0
157,2144.0
158,2106.0
159,2782.0
160,2660.0
161,2063.0
162,2178.0
163,2834.0
164,2545.0
165,2000.0
166,2405.0
167,2963.0
168,2379.0
169,1982.0
170,2497.0
171,3057.0
172,2365.0
173,2076.0
174,2586.0
175,3039.0
176,2260.0
177,1985.0
178,2701.0
179,3063.0
180,2178.0
181,2101.0
182,2745.0
183,2971.0
184,2146.0
185,2083.0
186,2760.0
187,2978.0
188,2157.0
189,2101.0
190,2811.0
191,2903.0
192,2155.0
193,2050.0
194,2790.0
195,2818.0
196,2085.0
197,2163.0
198,2858.0
199,2824.0
200,2120.0
201,2142.0
202,2928.0
203,2848.0
204,2143.0
205,2193.0
206,2939.0
207,2980.0
208,2145.0
209,2048.0
210,2762.0
211,2537.0
212,1979.0
213,2225.0
214,2861.0
215,2483.0
216,1971.0
217,2334.0
218,3003.0
219,2204.0
220,1873.0
221,2365.0
222,2980.0
223,2262.0
224,1907.0
225,2467.0
226,2930.0
227,2158.0
228,1971.0
229,2562.0
230,2980.0
231,2100.0
232,1995.0
233,2639.0
234,2757.0
235,2110.0
236,2105.0
237,2736.0
238,2513.0
239,1970.0
240,2230.0
241,2823.0
242,2343.0
243,1936.0
244,2420.0
245,2703.0
246,2094.0
247,1902.0
248,2487.0
249,2434.0
250,1939.0
251,2359.0
252,2892.0
253,2223.0
254,1988.0
255,2654.0
256,2719.0
257,2024.0
258,2311.0
259,2898.0
260,2231.0
261,1935.0
262,2609.0
263,2929.0
264,2088.0
265,2008.0
266,2709.0
267,2703.0
268,2041.0
269,2016.0
270,2603.0
271,2732.0
272,2078.0
273,1956.0
274,2561.0
275,2686.0
276,2061.0
277,1943.0
278,2547.0
279,2587.0
280,2010.0
281,2041.0
282,2659.0
283,2661.0
284,2033.0
285,1887.0
286,2551.0
287,2555.0
288,2011.0
289,1876.0
