,0
0,4273.291841341255
1,4962.55367533247
2,4056.1230674042054
3,2726.1245330597344
4,4560.8651025943
5,3858.3595969829316
6,2733.365629912699
7,3082.5393873255007
8,2263.4576719480165
9,3158.2241269713177
10,3111.040064292822
11,2513.4080327543375
12,704.580047631068
13,1514.5540052819752
14,1471.373367606487
15,597.8214281027057
16,879.4921985848654
17,1947.507886843136
18,525.2767750717629
19,544.7747165774026
20,329.30569515574007
21,-1075.8549296314686
22,-1638.844576962456
23,-441.7728257719459
24,-478.6356512292841
25,-1879.0667409038813
26,-2533.0014842986798
27,-2437.4912242467685
28,-762.261511098256
29,-5138.355093359196
30,-3667.9986931399344
31,-4489.944337188417
32,-3587.521049506291
33,-2070.7309236346755
34,-3905.5468982590974
35,-3503.257596754903
36,-4050.7141898338655
37,-4218.099048423684
38,-3612.200687618668
39,-2202.16805107412
40,-3814.8437036760047
41,1081.302905359753
42,-301.99215919694393
43,-2445.2716760896624
44,531.1704666758853
45,-490.12557494383407
46,-1551.2392713623656
47,1035.3090167999635
48,2058.5805780665733
49,2829.3136692223998
50,2054.3797781601297
51,4147.776314242223
52,2754.8107161952216
53,2728.197169668905
54,2365.494477200966
55,1651.7294699543147
56,3611.4724574784987
57,2959.504104451639
58,3334.811075384849
59,3974.210280098151
60,3383.826479477516
61,5277.960056527564
62,2391.798107992414
63,3990.3716688685663
64,4509.37824698697
65,4519.7270510695225
66,5.9749562384297406
67,1981.9187468613409
68,698.2539827004284
69,-1356.5454987742862
70,-265.794960198561
71,-1329.6180873435378
72,717.7729341950508
73,-181.3526918825637
74,-2125.3668613690515
75,-638.4081314819596
76,-1423.8608161249115
77,-314.7705884994309
78,-1369.1267141344529
79,-1542.5442450127123
80,-1647.6357461184446
81,-4997.114705338027
82,-2385.269037063379
83,-3258.6499713334206
84,-3485.167942202689
85,-4204.050640738745
86,-3973.798541111175
87,-2654.4225990601767
88,-3766.3739817689034
89,-3740.492981131076
90,-4747.475612453778
91,-5497.689994142305
92,-3229.2408475202596
93,-4135.661564358981
94,-4091.280636303831
95,-2910.98849444613
96,-1631.4485498050735
97,-2239.5942729231824
98,-2382.8045496926898
99,-2732.530131064975
100,-3501.3847919991154
101,-2013.62498591608
102,-2386.5701599388485
103,-72.3425022635131
104,-2344.5620001654606
105,-1906.4955366304976
106,-707.6728754847863
107,-803.9120600411864
108,-2222.944236007735
109,900.3002846583463
110,-182.95000865774387
111,850.8380307213007
112,-740.986549785463
113,1883.8248292047401
114,312.23030351274747
115,1383.0612317635237
116,2914.777857861287
117,3304.3456078382833
118,1117.3216683811072
119,3297.601244770561
120,3507.1302935473705
121,3323.7397063519893
122,3294.8050285883537
123,3731.1353389821907
124,3953.4533075352797
125,4179.6235965307715
126,4735.490712970513
127,3145.901014528729
128,3289.3560469848844
129,2413.811802628854
130,3383.7358284411152
131,3664.7386719768188
132,2162.31195229721
