,0
0,3080.846831222636
1,2578.303030346449
2,3265.6895820223795
3,2942.252145091508
4,2354.9586460545497
5,3543.218259929059
6,2537.2364086846683
7,2151.4880300773343
8,1547.5234291199693
9,921.9132706991893
10,1538.0366470990202
11,388.2506667261523
12,187.29462509006856
13,755.3885769292954
14,180.53639346342672
15,-316.17050309861264
16,-1161.6794615695305
17,-1315.2800155394548
18,-1725.0873810388898
19,-1812.9346525021963
20,-2953.557372391133
21,-2358.265937052302
22,-2393.149825533274
23,-2251.1729615119916
24,-3415.537102502739
25,-3453.6713227704536
26,-2963.5715513171017
27,-4198.760459359407
28,-4133.93191308148
29,-4224.810376295476
30,-3279.9877266990047
31,-3407.557986039884
32,-3502.807162993802
33,-3417.4298368112095
34,-2330.785783022129
35,-3346.3144424791058
36,-1900.5004824679309
37,-1690.3820804774748
38,-426.7387407901356
39,-2024.4710361443224
40,-1029.2236192300725
41,-376.2174628832207
42,-504.10597705759864
43,-274.42470357987236
44,-346.69734128443656
45,-307.89299153639246
46,1525.469752107576
47,1509.8737092533559
48,946.0069000625101
49,1002.1382620586841
50,1673.560346390795
51,2538.4517695564837
52,2566.2396450482456
53,2310.4282862419236
54,2615.3641989834796
55,3571.723424516341
56,2887.279981860037
57,2932.387891986854
58,3510.1199804239277
59,2935.235772468667
60,3710.022966307681
61,4200.911140585934
62,3835.7303274870874
63,3773.0510630452695
64,3269.5696229676673
65,2144.826617852517
66,2347.6275046984065
67,2301.703583264797
68,1972.6179830907172
69,2004.006712505009
70,872.1104013573624
71,1211.6827281572016
72,894.8493760525037
73,509.01995897933193
74,-486.0797402383397
75,-1061.731678493419
76,-592.8412596375877
77,-846.843417888899
78,-1622.2764298109482
79,-1607.0942387295424
80,-2950.698212011621
81,-2534.568287815366
82,-2385.3143332960717
83,-2556.409401202293
84,-2680.565885558678
85,-2975.5444999463093
86,-3531.0619976353046
87,-4303.207289998536
88,-4643.030415376793
89,-3587.491370400902
90,-4646.237197599675
91,-4274.9873680084
92,-2461.943575791712
93,-4259.514463810555
94,-3921.413547198552
95,-3239.442743781957
96,-3739.356692906757
97,-3354.5256096897797
98,-4748.070673045628
99,-3355.606429939034
100,-3546.097197044729
101,-3264.556343878951
102,-3686.9508629753095
103,-3305.652384912029
104,-3144.648279862221
105,-2040.6215943383345
106,-2485.569837326462
107,-1622.9498086169694
108,-1713.8477230195792
109,-1714.7468965123546
110,-1475.2170431364236
111,-189.29650144015375
112,-1409.0039168731873
113,128.55010895372487
114,-162.72171678782794
115,590.315289734984
116,787.6274302474574
117,1311.3216080145608
118,1275.6238097431622
119,2143.623623654299
120,1187.5719846403622
121,2624.6265685046233
122,2837.2245099505944
123,2677.0721139155735
124,2361.2223023651277
125,3201.0777856582354
126,4147.82645712486
127,3160.991929043794
128,3729.935924576828
129,2995.1541259429323
130,3442.3017262020303
131,3924.121158993842
132,4701.133223093947
133,4749.273989613312
134,4087.106300371772
135,4335.545982658385
136,3802.2536542074563
137,3917.571489523259
138,3711.761864718891
139,3358.6306773796796
140,3055.5292218478016
141,3222.8244784122335
142,2789.4622373723505
143,3041.7859828815317
144,3315.8624068991157
145,2231.745899107148
146,1978.5100263443858
147,1563.7076907266858
148,1503.9295355929048
149,1610.1936661581558
150,1605.2313301029576
151,80.38433445385624
152,-642.8224061014068
153,300.96962572800476
154,-676.9116445936598
155,517.7091635429986
156,-785.0006879565434
157,-1877.3706189312988
158,-1329.8977337265562
159,-2163.944349589124
160,-2081.1219964902402
161,-1043.770439218718
162,-2841.6798578597854
163,-3748.7564916320034
164,-2792.341600617811
165,-2832.347561596688
166,-3920.6386568435964
167,-4031.304502289013
168,-2857.975740765895
169,-2973.931237186896
170,-3736.5842156034337
171,-4011.044886919917
172,-3373.271909345709
173,-3956.363909509853
174,-3950.6391414723744
175,-3958.3665690019216
176,-4490.141305508746
177,-3554.7219924537276
178,-2803.0313217850507
179,-4278.892712073497
180,-3451.7716487648117
181,-2471.8494971950067
182,-3071.0319564867286
183,-3220.4923577132886
184,-2684.422983965008
185,-2072.4933706841252
186,-2967.0045538534673
187,-1480.6064310110096
188,-1734.8453443939025
