,0
0,933.0
1,935.0
2,935.0
3,938.0
4,912.0
5,924.0
6,1005.0
7,1123.0
8,1250.0
9,1383.0
10,1499.0
11,1648.0
12,1792.0
13,1941.0
14,2085.0
15,2237.0
16,2378.0
17,2530.0
18,2687.0
19,2836.0
20,2956.0
21,3050.0
22,3116.0
23,3184.0
24,3254.0
25,3347.0
26,3438.0
27,3499.0
28,3547.0
29,3585.0
30,3623.0
31,3652.0
32,3658.0
33,3641.0
34,3634.0
35,3646.0
36,3660.0
37,3594.0
38,3483.0
39,3357.0
40,3207.0
41,3045.0
42,2857.0
43,2663.0
44,2471.0
45,2309.0
46,2157.0
47,2015.0
48,1881.0
49,1751.0
50,1627.0
51,1522.0
52,1419.0
53,1320.0
54,1248.0
55,1198.0
56,1145.0
57,1088.0
58,1038.0
59,992.0
60,958.0
61,912.0
62,871.0
63,851.0
64,834.0
65,822.0
66,808.0
67,795.0
68,786.0
69,775.0
70,751.0
71,755.0
72,771.0
73,799.0
74,870.0
75,969.0
76,1085.0
77,1210.0
78,1318.0
79,1450.0
80,1586.0
81,1724.0
82,1856.0
83,2008.0
84,2147.0
85,2264.0
86,2385.0
87,2508.0
88,2628.0
89,2721.0
90,2789.0
91,2870.0
92,2965.0
93,3067.0
94,3171.0
95,3245.0
96,3303.0
97,3334.0
98,3349.0
99,3394.0
100,3408.0
101,3419.0
102,3433.0
103,3434.0
104,3404.0
105,3379.0
106,3402.0
107,3397.0
108,3362.0
109,3361.0
110,3347.0
111,3332.0
112,3304.0
113,3285.0
114,3284.0
115,3265.0
116,3232.0
117,3213.0
118,3167.0
119,3141.0
120,3110.0
121,3090.0
122,3094.0
123,3069.0
124,3024.0
125,2968.0
126,2951.0
127,2918.0
128,2856.0
129,2801.0
130,2768.0
131,2762.0
132,2719.0
133,2668.0
134,2608.0
135,2526.0
136,2433.0
137,2316.0
138,2191.0
139,2061.0
140,1948.0
141,1844.0
142,1745.0
143,1609.0
144,1468.0
145,1343.0
146,1239.0
147,1146.0
148,1056.0
149,1001.0
150,971.0
151,925.0
152,884.0
153,852.0
154,822.0
155,793.0
156,744.0
157,709.0
158,689.0
159,672.0
160,653.0
161,636.0
162,620.0
163,608.0
164,600.0
165,579.0
166,579.0
167,590.0
168,607.0
169,625.0
170,651.0
171,683.0
172,722.0
173,753.0
174,804.0
175,879.0
176,965.0
177,1045.0
178,1132.0
179,1221.0
180,1302.0
181,1383.0
182,1464.0
183,1548.0
184,1622.0
185,1695.0
186,1791.0
187,1903.0
188,2022.0
189,2126.0
190,2236.0
191,2349.0
192,2476.0
193,2613.0
194,2756.0
195,2900.0
196,3006.0
197,3028.0
198,3095.0
199,3182.0
200,3234.0
201,3246.0
202,3292.0
203,3308.0
204,3312.0
205,3252.0
206,3220.0
207,3188.0
208,3178.0
209,3159.0
210,3137.0
211,3131.0
212,3114.0
213,3081.0
214,3029.0
215,2977.0
216,2935.0
217,2921.0
218,2947.0
219,2927.0
220,2891.0
221,2861.0
222,2856.0
223,2832.0
224,2805.0
225,2771.0
226,2733.0
227,2692.0
228,2628.0
229,2532.0
230,2405.0
231,2254.0
232,2079.0
233,1895.0
234,1733.0
235,1605.0
236,1484.0
237,1365.0
238,1269.0
239,1181.0
240,1085.0
241,999.0
242,890.0
243,779.0
244,675.0
245,601.0
246,569.0
247,547.0
248,497.0
249,441.0
250,412.0
251,397.0
252,386.0
253,373.0
254,364.0
255,347.0
256,334.0
257,329.0
258,326.0
259,323.0
260,320.0
261,330.0
262,349.0
263,361.0
264,374.0
265,389.0
266,433.0
267,507.0
268,594.0
269,662.0
270,716.0
271,769.0
272,824.0
273,888.0
274,956.0
275,1025.0
276,1098.0
277,1181.0
278,1261.0
279,1329.0
280,1397.0
281,1470.0
282,1531.0
283,1608.0
284,1679.0
285,1740.0
286,1792.0
287,1850.0
288,1900.0
289,1933.0
290,1972.0
291,2017.0
292,2039.0
293,2044.0
294,2041.0
295,2046.0
296,2054.0
297,2050.0
298,2033.0
299,2001.0
300,1970.0
301,1921.0
302,1908.0
303,1898.0
304,1883.0
305,1859.0
306,1840.0
307,1827.0
308,1808.0
309,1808.0
310,1816.0
311,1815.0
312,1801.0
313,1779.0
314,1768.0
315,1797.0
316,1819.0
317,1807.0
318,1780.0
319,1730.0
320,1709.0
321,1694.0
322,1648.0
323,1576.0
324,1481.0
325,1363.0
326,1230.0
327,1147.0
328,1078.0
329,995.0
330,910.0
331,832.0
332,778.0
333,725.0
334,675.0
335,631.0
336,598.0
337,579.0
338,565.0
339,543.0
340,515.0
341,485.0
342,457.0
343,422.0
344,400.0
345,389.0
346,374.0
347,355.0
348,344.0
349,335.0
350,324.0
351,315.0
352,305.0
353,307.0
354,307.0
355,304.0
356,303.0
357,300.0
358,304.0
359,304.0
360,302.0
361,315.0
362,326.0
363,335.0
364,342.0
365,363.0
366,384.0
367,383.0
368,400.0
369,431.0
370,505.0
371,608.0
372,694.0
373,743.0
374,796.0
375,862.0
376,923.0
377,987.0
378,1066.0
379,1148.0
380,1227.0
381,1307.0
382,1386.0
383,1485.0
384,1573.0
385,1647.0
386,1712.0
387,1772.0
388,1832.0
389,1886.0
390,1931.0
391,1961.0
392,2004.0
393,2038.0
394,2068.0
395,2092.0
396,2096.0
397,2092.0
398,2111.0
399,2137.0
400,2142.0
401,2133.0
402,2122.0
403,2100.0
404,2098.0
405,2119.0
406,2097.0
407,2064.0
408,2058.0
409,2050.0
410,2030.0
411,2046.0
412,2075.0
413,2066.0
414,2057.0
415,2030.0
416,1993.0
417,1973.0
