,0
0,3538.7218081107967
1,1876.9542369077353
2,1000.6564453757277
3,1612.9271010622883
4,1380.1822245074127
5,839.4546439639337
6,495.56751472509114
7,828.5722759406342
8,-470.06173726356826
9,-1026.0242472229997
10,-1383.4922080615306
11,-1299.4400709093304
12,-861.4210457911499
13,-2171.8955044437275
14,-2663.3736795294435
15,-3109.522324541005
16,-2416.8733411634594
17,-2071.185371119228
18,-3845.5322948565363
19,-2832.3136494799464
20,-3129.0587229464304
21,-3476.512213843819
22,-3222.3962472666694
23,-3948.2613316329353
24,-3658.624401561979
25,-4346.484169760161
26,-3942.983081422694
27,-3996.2466668901066
28,-3142.6789359915256
29,-3954.9654279415
30,-3844.7948206489873
31,-3671.44352920175
32,-2489.767574773411
33,-1824.3899539019571
34,-1707.7976219350792
35,-900.670971254316
36,-788.2589561282055
37,-1145.2068050444773
38,-409.95998532519053
39,350.9697967669719
40,102.50354258347483
41,692.6769201769345
42,1602.3364028703907
43,2740.87439601513
44,2318.692640197683
45,2513.538525380476
46,3286.7545765112122
47,3465.597408897622
48,3863.3727266872966
49,4301.752142136532
50,3440.970450799258
51,2680.010243344027
52,3777.6162674306306
53,3747.4701663769606
54,5235.102335390385
55,4237.692517566899
56,4003.981299033938
57,3254.716892093002
58,3874.9095523837473
59,3365.3652402329194
60,2707.578619799543
61,3294.9571434281206
62,2930.4272970942734
63,3689.479563863345
64,2652.781337670879
65,2585.713162514579
66,2247.3541266226857
67,1896.5305876887555
68,1736.7779761193979
69,1703.1745512525617
70,1173.700297096826
71,834.9470740890476
72,-212.5318508153527
73,493.6072869843956
74,624.2263283714071
75,-2055.3277830872357
76,-1840.322056020162
77,-1334.4045847948887
78,-1925.7279432738685
79,-1163.368247466634
80,-2599.246992301909
81,-2630.1356163780365
82,-1922.6942805464853
83,-2780.3588519473415
84,-3297.970889198565
85,-3462.878812964395
86,-3178.2548736743092
87,-4014.6517377642194
88,-3289.3184159160564
89,-4335.067918030517
90,-3847.776410669796
91,-4175.039190473289
92,-3951.6519323598104
93,-4132.0897874910515
94,-3794.4034586395696
95,-4530.990889726263
96,-3556.393454139366
97,-4422.549285439934
98,-3772.63876960123
99,-3679.1597915321854
